price,Location,Floor,Land Mark,Land,Road,Bathroom,Bedroom,url
15000000,"Achham (Other Area), Achham",2.5,,1026.75,13,3,4,https://hamrobazaar.com/for-sale-house/residential-25-storey-on-sale-at-kageshwori-in-nepal/76f3de61783a4d1a922b47a40f3daed5
21000000,"Achham (Other Area), Achham",,,,,,,https://hamrobazaar.com/for-sale-house/urgent-sale-in-nepal/208e4205074c43d5b6c954d2db56e5ec
43000000,"Adarsha Tole Marg, ???, ??? ???",3,kusunti,1369,12,5,6,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/a8004551ac74488fbe9bef67c7f1a55d
100000000,"Airport, Kathmandu",2,,3080.25,20,3,7,https://hamrobazaar.com/for-sale-house/house-on-sale-near-airport-sinamangal-in-kathmandu/b5a48c3c23604a799e833c072953ddf1
58000000,"akashedhara, Akasedhara (Kapan), Kathmandu",1,0,684.5,13,3,4,https://hamrobazaar.com/for-sale-house/house-on-sale-at-akashedhara-in-kathmandu/e9a67f59a86247b2a419f9c76f6613d1
27000000,"akashedhara, Akasedhara (Kapan), Kathmandu",2,,1369,12,4,4,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kapan-in-kathmandu/f9902a06e81c4c52a0996311422a51b7
50000000,"akashedhara, Akasedhara (Kapan), Kathmandu",3,,1711.25,20,4,5,https://hamrobazaar.com/for-sale-house/house-on-sale-at-akashedhara-in-kathmandu/8431edfa8fc549b4957f666ba643df23
55000000,"akashedhara, Akasedhara (Kapan), Kathmandu",4,,3935.875,20,2,3,https://hamrobazaar.com/for-sale-house/kapan-ram-mandir-house-on-in-kathmandu/72b4250636654d479f49bf9363592f2b
29000000,"Akhanda marg, Ananda Nagar, Sukedhara",2,,1369,13,3,8,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/b79630ed08d043ef908275827238f7f1
20000000,"All Core Kathmandu, Kathmandu",2,,1369,12,2,5,https://hamrobazaar.com/for-sale-house/house-for-sale-in-aakashedhara-kapan-9851131434-in-kathmandu/e245b392caae4586916ff4f9ba282c27
33500000,"All Core Kathmandu, Kathmandu",2.5,Bhaisepati police station,1818.2,13,4,5,https://hamrobazaar.com/for-sale-house/5bhk-bungalow-for-sale-saibudole-bhaisepati-in-kathmandu/f57838a9745c4bbca459b067f5e0a035
50000000,"All Core Kathmandu, Kathmandu",4,,2053.5,13,20,4,https://hamrobazaar.com/for-sale-house/in-kathmandu/f7d23ffb2e074ea59fda8accea9cc9d3
31000000,"All Core Kathmandu, Kathmandu",,,,,,,https://hamrobazaar.com/for-sale-house/house-in-kapan-in-kathmandu/a70f5c4a1e7e4b708df282b149715749
26000000,"All Core Lalitpur, Lalitpur",3,"500 METER FROM IJ PIONEER SCHOOL, LALITPUR",1129.425,13,3,8,https://hamrobazaar.com/for-sale-house/emergency-in-lalitpur/f46ccbf851924e5c9a7e00a03d124168
280000000,"All Core Lalitpur, Lalitpur",2.5,,1197.87,20,3,3,https://hamrobazaar.com/for-sale-house/naya-ghar-bikrima-kumaltar-ma-in-lalitpur/83eda7a5b6cd4226b80aee881efb196b
32500000,"Anamnagar, Kathmandu",3,,1026.75,13,3,12,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/384fe50317604e879f8c7203963f1343
185000000,"Anand Chok, Tinthana, Chandragiri, Kathmandu",3,Good,5818.25,13,3,3,https://hamrobazaar.com/for-sale-house/kalanki-ma-17-aana-ma-baneko-ghar-bikri-ma-in-kathmandu/f1607927bd414d74933e9e9f77319ce4
38500000,"Archies gallary, Bhaktithapa Road, Bogati Tol, Naya Baneshwar, Kathmandu, Bagmati Pradesh, 44617, Nepal",,,,,,,https://hamrobazaar.com/for-sale-house/0430-jagga-ko-matra-vau-ma-ghar-free-ma-in-kathmandu/21609ce1650e49fda0058e810c83eff5
20000000,"B.R.T Engineering Pvt.Ltd., 3, NH66, Chauraha, Dhangadhi, Dhangadi Sub Metropolitan, Dhanhadhi, Kailali, Sudurpashchim Pradesh, +977, Nepal",1,Nabil bank,3645,20,1,3,https://hamrobazaar.com/for-sale-house/house-with-land-1-kattha-for-sale-in-dhangadhi-in-kailali/16351cc1a7f041a2b79a137e687fa623
39000000,"Badikhel (Godawari), Lalitpur",2.5,Godawari,1711.25,20,4,5,https://hamrobazaar.com/for-sale-house/under-construction-house-sale-in-godawarilalitpur-in-lalitpur/f54aed69851b49169249fc8590e81ef3
35000000,"Bafal Marg, Lalitpur",2.5,,1540.125,13,4,11,https://hamrobazaar.com/for-sale-house/cheapest-house-on-sale-at-bouddha-jorpati-ktm-in-nepal/a1b7c88ae2844ebaa450448992c9d9f3
41000000,"Bafal, Kathmandu",2.5,Solti Hotel,1219.26,13,5,5,https://hamrobazaar.com/for-sale-house/value-for-money-bungalow-in-bafal-soltimode-in-kathmandu/5c1786ee144e494cac4583d8ca8e34de
90000000,"Bafal, Kathmandu",3,Near Hyatt Place,2738,13,4,6,https://hamrobazaar.com/for-sale-house/residential-house-on-sale-at-bafal-kathmandu-in-kathmandu/00c4786951c546eaa05acc1aaca8cbc3
35000000,"Bafal, Kathmandu",,,,,,,https://hamrobazaar.com/for-sale-house/home-at-civil-homevi-way-to-ramkot-in-kathmandu/b3d261218c784bcbad33ef908c9d92d5
47000000,"Bafal, Sitapaila Marg, Kathmandu, Nepal",2.5,,2310.1875,12,4,6,https://hamrobazaar.com/for-sale-house/bungalow-house-for-sale-at-bafal-in-kathmandu/ae948718ce6d43959165dea4d8ec014f
